"v1013","mes_nome","faixa_renda","plano_saude","n_amostra","populacao_estimada","pct_buscou_atendimento","pct_internado_entre_atendidos","pct_entubado_entre_internados"
"11","Novembro","Ate 1 SM","Nao","43320","2.2194146E7","24.2283","3.5271","5.662"
"9","Setembro","Acima 4 SM",,"15","9829.0",,,
"11","Novembro","2 a 4 SM","Sim","11515","7923810.0","41.5702","4.4368","10.7101"
"9","Setembro","2 a 4 SM","Sim","11504","7752585.0","24.6441","7.2623","0.0"
"11","Novembro","Sem informacao","Nao","193729","9.8867975E7","24.6492","12.6803","19.2617"
"9","Setembro","Ate 1 SM","Sim","5795","3523608.0","23.0074","4.0426","0.0"
"9","Setembro","1 a 2 SM","Sim","13407","9361377.0","32.7737","0.6613","0.0"
"9","Setembro","Ate 1 SM","Nao","43012","2.140438E7","23.9317","5.7632","8.316"
"9","Setembro","Sem informacao","Sim","45815","2.9249273E7","23.3778","12.2549","38.4703"
"11","Novembro","1 a 2 SM","Sim","13455","9504921.0","38.3673","11.1016","6.9797"
