"v1013","mes_nome","faixa_renda","n_amostra","populacao_estimada","pct_recebeu_auxilio","pct_recebeu_bolsa_familia","pct_recebeu_seguro_desemprego","pct_buscou_atendimento","pct_internado_entre_atendidos"
"9","Setembro","Acima 4 SM","14370","9069168.0","10.8954","0.2451","0.9964","21.4744","3.428"
"10","Outubro","2 a 4 SM","24570","1.5196338E7","26.7054","0.9569","1.6657","27.4482","3.6356"
"10","Outubro","Acima 4 SM","14008","8973383.0","9.6959","0.1748","0.8448","28.8967","6.4138"
"9","Setembro","Ate 1 SM","48871","2.4953772E7","62.8359","5.2495","1.7622","23.8038","5.5062"
"10","Outubro","Ate 1 SM","48882","2.562677E7","61.5137","10.2223","1.5688","24.6575","10.8667"
"9","Setembro","1 a 2 SM","52863","3.2061525E7","43.2546","2.5583","2.5633","29.2764","4.8837"
"9","Setembro","Sem informacao","246235","1.30234393E8","54.8816","5.9521","2.6022","22.6533","12.0349"
"10","Outubro","1 a 2 SM","52827","3.2562659E7","41.8561","3.3107","2.1439","29.3115","3.3837"
"9","Setembro","2 a 4 SM","24959","1.5073594E7","28.1959","0.6953","1.789","24.5441","10.2488"
"10","Outubro","Sem informacao","240174","1.29163398E8","53.1003","10.082","2.1076","25.844","13.7689"
