"v1013","mes_nome","moradia","nivel_protecao_domiciliar","n_amostra","populacao_estimada","pct_pegou_emprestimo","pct_recebeu_seguro_desemprego","pct_internado_entre_atendidos","media_itens_protecao"
"9","Setembro","Proprio ainda pagando","Protecao intermediaria","460","319896.0","97.455","2.2048","0.0","2.8788"
"9","Setembro","Cedido de outra forma","Protecao intermediaria","400","189440.0","85.2955","4.4952","0.0","2.8246"
"11","Novembro","Outra condicao","Alta protecao","1162","726997.0","92.5539","3.9046","0.0","4.3595"
"9","Setembro","Cedido por empregador","Alta protecao","8126","2682779.0","79.8754","2.0641","5.3374","4.3688"
"9","Setembro","Cedido por empregador","Protecao intermediaria","500","150616.0","94.0729","3.0808","0.0","2.933"
"11","Novembro","Outra condicao","Protecao intermediaria","113","55781.0","100.0","0.0","0.0","2.6274"
"9","Setembro","Proprio ainda pagando","Alta protecao","22009","1.6212735E7","84.7242","4.0487","4.2353","4.4733"
"9","Setembro","Alugado","Baixa protecao","78","55455.0","46.4961","1.6438",,"1.0"
"11","Novembro","Cedido de outra forma","Alta protecao","3594","1753125.0","86.9251","0.5886","2.177","4.3125"
"11","Novembro","Outra condicao","Nenhum item","12","7654.0","100.0","0.0",,"0.0"
